Categoría,Nombre de la base y/o conjunto de datos,Nombre de la tabla de la base de datos / hoja del conjunto de datos,Descripción de capa,Etiqueta del campo o variable,Descripció de Campo,"Tipo de dato
",Rango o valores que permite el campo,Clasificación de la información,Especificaciones y/o reglas de cálculo,Obligatoriedad del campo,Registro de campos vacíos ,Tipo de archivo:
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_HOM_SE,Alumnos Hombres Educación Secundaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_HOM_CA,Alumnos Hombres Capacitación,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_HOM_TO,Alumnos Hombres Total,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_MUJ_IN,Alumnas Mujeres Educación Inicial,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_MUJ_PR,Alumnas Mujeres Educación Primaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_MUJ_SE,Alumnas Mujeres Educación Secundaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_MUJ_CA,Alumnas Mujeres Capacitación,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_MUJ_TO,Alumnas Mujeres Total,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_TOT_IN,Alumnos Total Educación Inicial,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_TOT_PR,Alumnos Total Educación Primaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_TOT_SE,Alumnos Total Educación Secundaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_TOT_CA,Alumnos Total Capacitación,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_TOTAL,Total de alumnos,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",GRUPOS_INI,Grupos Educación Inicial,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",GRUPOS_PRE,Grupos Educación Preescolar,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",GRUPOS_PRI,Grupos Educación Primaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",GRUPOS_SEC,Grupos Educación Secundaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",GRUPOS_CAP,Grupos Capacitación,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",GRUPOS_TOT,Total de Grupos,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",DIRECTORES,Directores,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",DOCENTES,Docentes,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",APOYO,Apoyo,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",PERSONAL_T,Personal técnico,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ESCUELAS,Escuelas,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",PROGRAMA,Programa,Alfanumérico,,Pública,,Obligatorio,Con datos vacios,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",LAT,Latitud,Número con decimales,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",LONG,Longitud,Número con decimales,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",CODPOST,Código postal,Número entero,,Pública,,Obligatorio,Con datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ESTADO,Estado,Alfanumérico,"Claves de Áreas Geoestadísticas Estatales, de acuerdo al Marco Geoestadístico Nacional para la Ciudad de México",Pública,"El nombre debe corresponder con el código del campo ENTIDAD, de conformidad con el Catálogo único de claves del Marco geoestadístico del INEGI",Obligatorio,Sin datos vacíos,Shape file (.shp)
