nombre,nivel,turno,sostenimiento,domicilio,ubicacion,colonia,alcaldia,latitud,longitud
CENTRO EDUCATIVO SNOOPYY,Preescolar,MATUTINO,Particular,LAGO GINEBRA NO. 159,"LAGO GINEBRA NO. 159, PENSIL, MIGUEL HIDALGO",PENSIL SUR,MIGUEL HIDALGO,19.4456061,-99.1972065
COMPLEJO EDUCATIVO DE DESARROLLO INTEGRAL,Preescolar,MATUTINO,Particular,SALVADOR ORTEGA FLORES NO. 14,"SALVADOR ORTEGA FLORES NO. 14, MIGUEL HIDALGO, TLALPAN",AMPLIACION MIGUEL HIDALGO 2A SECC,TLALPAN,19.285786,-99.194094
INSTITUTO PEDAGOGICO VALLE DE MÉXICO,Preescolar,MATUTINO,Particular,VICTORIA NO. 3905,"VICTORIA NO. 3905, FAJA DE ORO, GUSTAVO A. MADERO",FAJA DE ORO,GUSTAVO A. MADERO,19.4668262,-99.1039644
"INSTITUTO MEXICANO YANCUIC, A.C.",Preescolar,MATUTINO,Particular,VAS OSTADE NO. 9,"VAS OSTADE NO. 9, ALFONSO XIII, ALVARO OBREGON",ALFONSO XIII,ALVARO OBREGON,19.3745479,-99.1986378
COLEGIO LÁMBARRI,Preescolar,MATUTINO,Particular,SILVESTRE REVUELTAS NO. 15,"SILVESTRE REVUELTAS NO. 15, GUADALUPE INN, ALVARO OBREGON",GUADALUPE INN,ALVARO OBREGON,19.3619222,-99.1875906
JARDIN DE NIÑOS VALLE MÉXICO,Preescolar,MATUTINO,Particular,SALONICA NO. 166,"SALONICA NO. 166, SINDICATO MEXICANO DE ELECTRICISTAS, AZCAPOTZALCO",SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,19.4709896,-99.1782465
"SERVICIOS EDUCATIVOS PARA EL DESARROLLO INFANTIL SANTA FE, S.C.",Preescolar,MATUTINO,Particular,GUILLERMO GONZALEZ CAMARENA NO. 1000-PB LOCAL 002,"GUILLERMO GONZALEZ CAMARENA NO. 1000-PB LOCAL 002, SANTA FE, ALVARO OBREGON",LOMAS DE SANTA FE II,ALVARO OBREGON,19.3653632,-99.263444
"CAZIIDE, S.C.",Preescolar,MATUTINO,Particular,PIEDRA 199,"PIEDRA 199, JARDINES DEL PEDREGAL, ALVARO OBREGON",JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3112176,-99.2100471
KID'S PLACE MEXICO,Preescolar,MATUTINO,Particular,MAZATLAN NOS. 171 Y  173,"MAZATLAN NOS. 171 Y  173, CONDESA, CUAUHTEMOC",CONDESA,CUAUHTEMOC,19.4137605,-99.1775122
JARDÍN DE NIÑOS LA CABAÑA MÁGICA,Preescolar,MATUTINO,Particular,AV. MEXICO NO.232,"AV. MEXICO NO.232, CUAJIMALPA, CUAJIMALPA DE MORELOS",AHUATENCO,CUAJIMALPA DE MORELOS,19.3605581,-99.299827
"RENOVACIÓN,UNIÓN DE FUERZAS UNIÓN DE ESFUERZOS",Preescolar,MATUTINO,Particular,PUENTE NACIONAL NO. 100,"PUENTE NACIONAL NO. 100, PUENTE COLORADO, ALVARO OBREGON",SAN CLEMENTE,ALVARO OBREGON,19.3491962,-99.2299675
ROSAURA ZAPATA,Preescolar,MATUTINO,Particular,CAPULIN No. 36,"CAPULIN No. 36, XALPA, IZTAPALAPA",XALPA III,IZTAPALAPA,19.3432046,-99.0179544
YOLIHUANI,Preescolar,MATUTINO,Particular,CERRADA DE BENITO JUAREZ S/N MZ. 5 LT. 3,"CERRADA DE BENITO JUAREZ S/N MZ. 5 LT. 3, LOMAS DE ZARAGOZA, IZTAPALAPA",LOMAS DE ZARAGOZA,IZTAPALAPA,19.354297,-98.9978448
COLEGIO BICENTENARIO,Preescolar,MATUTINO,Particular,CALZ. ERMITA IZTAPALAPA NO. 1873,"CALZ. ERMITA IZTAPALAPA NO. 1873, PARAJE SAN JUAN, IZTAPALAPA",LOS ANGELES,IZTAPALAPA,19.3495846,-99.0729935
KOKONE MONTESSORI,Preescolar,MATUTINO,Particular,ANTONIO SALANUEVA NO. 36 (ANT. JUSTO SIERRA),"ANTONIO SALANUEVA NO. 36 (ANT. JUSTO SIERRA), LOMAS DEL OCOTE, CUAJIMALPA DE MORELOS",LAS TINAJAS,CUAJIMALPA DE MORELOS,19.3510041,-99.2854668
COLEGIO HORMIGUITAS,Preescolar,MATUTINO,Particular,TEJAMANIL NO. 200,"TEJAMANIL NO. 200, PEDREGAL DE SANTO DOMINGO, COYOACAN",PEDREGAL DE STO DOMINGO V,COYOACAN,19.324291,-99.1676224
INSTITUTO INTEGRAL BENJAMIN BLOOM,Preescolar,MATUTINO,Particular,CANAL DE MIRAMONTES NO. 1976,"CANAL DE MIRAMONTES NO. 1976, EDUCACION, COYOACAN",EDUCACION,COYOACAN,19.3389563,-99.1370422
EL MUNDO DE LOS NIÑOS DE KARLYN,Preescolar,MATUTINO,Particular,JESUS LECUONA NO. 269,"JESUS LECUONA NO. 269, MIGUEL HIDALGO AMPLIACION, TLALPAN",AMPLIACION MIGUEL HIDALGO 2A SECC,TLALPAN,19.284134,-99.2007327
KINDER BABY STEPS,Preescolar,MATUTINO,Particular,CARRETERA SAN MATEO-SANTA ROSA NO. 31,"CARRETERA SAN MATEO-SANTA ROSA NO. 31, CONTADERO, CUAJIMALPA DE MORELOS",SAN MATEO TLALTENANGO (PBLO),CUAJIMALPA DE MORELOS,19.3442949,-99.2855859
ESCUELA EL BOSQUE MICAEL,Preescolar,MATUTINO,Particular,16 DE SEPTIEMBRE NO. 7,"16 DE SEPTIEMBRE NO. 7, CONTADERO, CUAJIMALPA DE MORELOS",EL CONTADERO,CUAJIMALPA DE MORELOS,19.3481523,-99.3019797
ESCUELA COMERCIAL CAMARA DE COMERCIO,Preescolar,MATUTINO,Particular,PATRIOTISMO NO. 49,"PATRIOTISMO NO. 49, ESCANDON, MIGUEL HIDALGO",SAN PEDRO DE LOS  PINOS,BENITO JUAREZ,19.3957852,-99.1815843
JARDIN DE NIÑOS ROSITA,Preescolar,MATUTINO,Particular,CERRADA DE PALMAS MZA. PONIENTE. LT. 34,"CERRADA DE PALMAS MZA. PONIENTE. LT. 34, TLACUITLAPA, ALVARO OBREGON",EL ROSAL,LA MAGDALENA CONTRERAS,19.3119158,-99.2485907
"KIDS IN MOTION DEL VALLE I, A.C.",Preescolar,MATUTINO,Particular,PROVIDENCIA NO. 1025,"PROVIDENCIA NO. 1025, DEL VALLE, BENITO JUAREZ",DEL VALLE IV,BENITO JUAREZ,19.3847755,-99.1707632
COLEGIO ARISTOTELES,Preescolar,MATUTINO,Particular,MADRESELVA NO. 183,"MADRESELVA NO. 183, XALTOCAN, XOCHIMILCO",XALTOCAN (BARR),XOCHIMILCO,19.2486645,-99.1023886
"SEDI LOMAS, S.C.",Preescolar,MATUTINO,Particular,EXPLANADA NO. 305,"EXPLANADA NO. 305, AGRICULTURA, MIGUEL HIDALGO",LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4251542,-99.211154
KINDER KALLIKIDS S.C.,Preescolar,MATUTINO,Particular,CALZ. DE LAS AGUILAS NO. 564,"CALZ. DE LAS AGUILAS NO. 564, ALPES, ALVARO OBREGON",ALPES (AMPL),ALVARO OBREGON,19.3585807,-99.2110501
LA CASA DE LAS CAMPANAS,Preescolar,MATUTINO,Particular,ORIENTE 168 NO. 387,"ORIENTE 168 NO. 387, MOCTEZUMA 1A SECCION, VENUSTIANO CARRANZA",MOCTEZUMA 2A SECCION I,VENUSTIANO CARRANZA,19.4379087,-99.0920805
KIDDIES TIME,Preescolar,MATUTINO,Particular,2DA. CDA. DE LOPEZ MATEOS NO. 8,"2DA. CDA. DE LOPEZ MATEOS NO. 8, CUAJIMALPA, CUAJIMALPA DE MORELOS",ADOLFO LOPEZ MATEOS,CUAJIMALPA DE MORELOS,19.3626965,-99.2945623
IMPULSO PEDAGÓGICO MEXICANO,Preescolar,MATUTINO,Particular,AV. SANTA FE NO. 482 CC1-1,"AV. SANTA FE NO. 482 CC1-1, SANTA FE CUAJIMALPA, CUAJIMALPA DE MORELOS",CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3591396,-99.2704389
VILLA ARCOIRIS II,Preescolar,MATUTINO,Particular,NORTE 74 NO. 7918,"NORTE 74 NO. 7918, SALVADOR DIAZ MIRON, GUSTAVO A. MADERO",SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,19.4871222,-99.0964292
"HOGAR Y FUTURO, A.C.",Preescolar,MATUTINO,Particular,TERRENO TEZONTILA S/N.,"TERRENO TEZONTILA S/N., SAN BARTOLO AMEYALCO, ALVARO OBREGON",SAN BARTOLO AMEYALCO (PBLO),ALVARO OBREGON,19.3292597,-99.2702429
COLEGIO BILINGÜE CIPRES,Preescolar,MATUTINO,Particular,MORELOS NO. 127,"MORELOS NO. 127, CUAJIMALPA, CUAJIMALPA DE MORELOS",SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.3529756,-99.3043435
COLEGIO IONA,Preescolar,MATUTINO,Particular,EDGAR ALLAN POE NO. 348,"EDGAR ALLAN POE NO. 348, POLANCO REFORMA, MIGUEL HIDALGO",POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4376687,-99.1997982
IMPULSO PEDAGOGICO MEXICANO,Preescolar,MATUTINO,Particular,SUDERMAN NO. 152,"SUDERMAN NO. 152, CHAPULTEPEC MORALES, MIGUEL HIDALGO",CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,19.4358077,-99.1838701
CENTRO AMEYALLI,Preescolar,MATUTINO,Particular,"TECPAN DE GALEANA MZA. 149, LT. 2102","TECPAN DE GALEANA MZA. 149, LT. 2102, SAN FELIPE DE JESUS, GUSTAVO A. MADERO",SAN FELIPE DE JESUS IV,GUSTAVO A. MADERO,19.4937412,-99.0749207
UNIDAD PEDAGÓGICA E INTELIGENCIAS MÚLTIPLES LEÓN TOLSTOI,Preescolar,MATUTINO,Particular,AV. SAN JERÓNIMO NO. 1950,"AV. SAN JERÓNIMO NO. 1950, EL TORO, LA MAGDALENA CONTRERAS",PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,19.3104731,-99.2454391
KINDER ARABELLE,Preescolar,MATUTINO,Particular,AV. SAN MIGUEL LT. 5,"AV. SAN MIGUEL LT. 5, MALACATES AMPLIACION, GUSTAVO A. MADERO",MALACATES (AMPL),GUSTAVO A. MADERO,19.5762744,-99.1310488
COLEGIO INFANTIL MI GRAN MUNDO,Preescolar,MATUTINO,Particular,LAGO ZUMPANGO NO. 140,"LAGO ZUMPANGO NO. 140, 5 DE MAYO, MIGUEL HIDALGO",5 DE MAYO,MIGUEL HIDALGO,19.4467751,-99.1991569
LICEO IN LAK'ECH,Preescolar,MATUTINO,Particular,PROLONGACION HEROES DEL 47  NO. 103,"PROLONGACION HEROES DEL 47  NO. 103, SAN DIEGO CHURUBUSCO, COYOACAN",SAN MATEO (BARR),COYOACAN,19.351503,-99.1496151
CENTRO EDUCATIVO DE ESTIMULACIÓN Y DESARROLLLO INFANTIL LUZ MARÍA SERRADELL,Preescolar,MATUTINO,Particular,DEL PARQUE NO.13,"DEL PARQUE NO.13, AVANTE, COYOACAN",AVANTE,COYOACAN,19.3272431,-99.1340926
JARDÍN DE NIÑOS JOSEFINA SANDOVAL S.,Preescolar,MATUTINO,Particular,AV. DIVISIÓN DEL NORTE NO. 3587,"AV. DIVISIÓN DEL NORTE NO. 3587, SAN PABLO TEPETLAPA EJIDO, COYOACAN",SAN PABLO TEPETLAPA (PBLO),COYOACAN,19.3225616,-99.1391887
COLEGIO VANGUARDIA,Preescolar,MATUTINO,Particular,CALZADA TLAHUAC CHALCO NO. 1151,"CALZADA TLAHUAC CHALCO NO. 1151, LA MAGDALENA, TLAHUAC",SAN PEDRO TLAHUAC (PBLO),TLAHUAC,19.2678123,-99.0046412
MULTICULTURAL SCHOOL CECRESTI,Preescolar,MATUTINO,Particular,CERRO DEL CHIQUIHUITE NO. 171,"CERRO DEL CHIQUIHUITE NO. 171, CAMPESTRE CHURUBUSCO, COYOACAN",CAMPESTRE CHURUBUSCO,COYOACAN,19.3465179,-99.1315851
COLEGIO TENNESSEE S.C.,Preescolar,MATUTINO,Particular,CINEMATOGRAFISTAS NO. 427-A,"CINEMATOGRAFISTAS NO. 427-A, LOMAS ESTRELLA, IZTAPALAPA",LOMAS ESTRELLA 2A SECC II,IZTAPALAPA,19.3194151,-99.0920708
HOMO VIVENS DAYCARE S.C.,Preescolar,MATUTINO,Particular,COLEGIO NO. 757,"COLEGIO NO. 757, JARDINES DEL PEDREGAL, ALVARO OBREGON",JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3101193,-99.2049139
COLEGIO LAS AMÉRICAS,Preescolar,MATUTINO,Particular,GENERAL MANUEL ÁVILA CAMACHO NO. 145,"GENERAL MANUEL ÁVILA CAMACHO NO. 145, CARACOL AMPLIACION, VENUSTIANO CARRANZA",AMPL CARACOL,VENUSTIANO CARRANZA,19.4282372,-99.065231
COLEGIO VICTORIA DE LA DEMOCRACIA,Preescolar,MATUTINO,Particular,JOSÉ MARÍA MORELOS Y PAVON NO. 27,"JOSÉ MARÍA MORELOS Y PAVON NO. 27, SANTA MARIA AZTAHUACAN, IZTAPALAPA",SANTA MARIA AZTAHUACAN (EJ) II,IZTAPALAPA,19.3479712,-99.0301617
JARDÍN DE NIÑOS BUCKINGHAM,Preescolar,MATUTINO,Particular,PATRICIO SANZ NO. 1647,"PATRICIO SANZ NO. 1647, DEL VALLE, BENITO JUAREZ",DEL VALLE VII,BENITO JUAREZ,19.3711443,-99.1754348
COLEGIO ELENA GARRO,Preescolar,MATUTINO,Particular,HOMBRES ILUSTRES NO. 52,"HOMBRES ILUSTRES NO. 52, SANTA CECILIA TEPETLAPA, XOCHIMILCO",SANTA CECILIA TEPETLAPA (PBLO),XOCHIMILCO,19.2209482,-99.1002812
INSTITUTO PEDAGÓGICO FRIEDRICH FROEBEL,Preescolar,MATUTINO,Particular,CINEMATOGRAFOS NO. 61,"CINEMATOGRAFOS NO. 61, EL VERGEL, IZTAPALAPA",LOMAS ESTRELLA 2A SECC I,IZTAPALAPA,19.3186111,-99.087048
"CENTRO EDUCATIVO ACTY GYM, PLANTEL NÁPOLES",Preescolar,MATUTINO,Particular,ALABAMA 184,"ALABAMA 184, NAPOLES, BENITO JUAREZ",NAPOLES,BENITO JUAREZ,19.389294,-99.1797172
KINDER ALIN,Preescolar,MATUTINO,Particular,AHUIZOTL NO. 54,"AHUIZOTL NO. 54, LA PRECIOSA, AZCAPOTZALCO",LA PRECIOSA,AZCAPOTZALCO,19.4855116,-99.1930311
INSTITUTO PEDAGÓGICO VALLE DE MÉXICO,Preescolar,MATUTINO,Particular,NORTE 76 NO. 6007,"NORTE 76 NO. 6007, ARAGON INGUARAN, GUSTAVO A. MADERO",GERTRUDIS SANCHEZ 1A SECCION,GUSTAVO A. MADERO,19.4674007,-99.1038308
COLEGIO SUNDANCE,Preescolar,MATUTINO,Particular,SUR 67-A NO. 131,"SUR 67-A NO. 131, EL PRADO, IZTAPALAPA",EL PRADO,IZTAPALAPA,19.3583933,-99.1384008
POPOL VUH,Preescolar,MATUTINO,Particular,AVENIDA CONGRESO DE CHILPANCINGO,"AVENIDA CONGRESO DE CHILPANCINGO, POPULAR ERMITA ZARAGOZA, IZTAPALAPA",ERMITA ZARAGOZA (U HAB) II,IZTAPALAPA,19.3641161,-98.9991935
INSTITUTO CULHUACAN,Preescolar,MATUTINO,Particular,CARLOS DAVID ANDERSON NO 5,"CARLOS DAVID ANDERSON NO 5, SAN SIMON CULHUACAN, IZTAPALAPA",SAN SIMON CULHUACAN (BARR),IZTAPALAPA,19.3348489,-99.1066504
JARDIN DE NIÑOS FUERZA NATURAL,Preescolar,MATUTINO,Particular,"CALLE MIRAVILLA MZ 38,LT.11","CALLE MIRAVILLA MZ 38,LT.11, LOS ANGELES, IZTAPALAPA",NA,NA,NA,NA
KIDS LEARNING WORLD,Preescolar,MATUTINO,Particular,LAS PALMAS NO 96,"LAS PALMAS NO 96, EL MOLINO, CUAJIMALPA DE MORELOS",EL MOLINO,CUAJIMALPA DE MORELOS,19.3660886,-99.2812237
COLEGIO FRIDA KAHLO,Preescolar,MATUTINO,Particular,JUAREZ NO 55,"JUAREZ NO 55, LA ASUNCION, XOCHIMILCO",LA ASUNCION (BARR),XOCHIMILCO,19.2668256,-99.1034026
PREESCOLAR PORTUGAL,Preescolar,MATUTINO,Particular,AVENIDA NORTE NO 143,"AVENIDA NORTE NO 143, AGRICOLA PANTITLAN, IZTACALCO",PANTITLAN IV,IZTACALCO,19.4107869,-99.0679947
COPOS DE NIEVE,Preescolar,MATUTINO,Particular,AVENIDA RIO CHURUBUSCO NO 2035,"AVENIDA RIO CHURUBUSCO NO 2035, EL RODEO, IZTACALCO",MOSCO CHINAMPA,IZTACALCO,19.3919338,-99.0991016
NUESTRO BOSQUE CENTRO EDUCATIVO S.C,Preescolar,MATUTINO,Particular,RENATO LEDUC NO 109,"RENATO LEDUC NO 109, BOSQUES DE TETLAMEYA, COYOACAN",BOSQUES DE TETLAMEYA,COYOACAN,19.2973518,-99.1554137
KABA'DU COMUNIDAD EDUCATIVA,Preescolar,MATUTINO,Particular,CALZADA DESIERTO DE LOS LEONES NO 4940,"CALZADA DESIERTO DE LOS LEONES NO 4940, TETELPAN, ALVARO OBREGON",TETELPAN (PBLO),ALVARO OBREGON,19.342617,-99.2241017
FUNDACIÓN EDITH MERA SICARDO,Preescolar,MATUTINO,Particular,RETORNO 24 NO 1,"RETORNO 24 NO 1, AVANTE, COYOACAN",AVANTE,COYOACAN,19.3302085,-99.1334717
INSTITUTO JEAN PIAGET,Preescolar,MATUTINO,Particular,CALLE 1547 NO. 93,"CALLE 1547 NO. 93, UNIDAD SAN JUAN DE ARAGON 6A SECCION, GUSTAVO A. MADERO",SAN JUAN DE ARAGON 6A SECCION (U HAB) II,GUSTAVO A. MADERO,19.4657442,-99.0606137
CENTRO EDUCATIVO TENOCHTITLAN,Preescolar,MATUTINO,Particular,ZAZAPOTLA NO. 69,"ZAZAPOTLA NO. 69, TECAXTITLA TECOMITL BARRIO, MILPA ALTA",SAN ANTONIO TECOMITL (PBLO),MILPA ALTA,19.2225597,-98.9943697
COLEGIO RENACIMIENTO,Preescolar,MATUTINO,Particular,"TARASCOS NO. 2, LOTE 3 MZA. 4","TARASCOS NO. 2, LOTE 3 MZA. 4, TLALCOLIGIA, TLALPAN",TLALCOLIGIA,TLALPAN,19.2762237,-99.174049
INSTITUTO MARSHALL,Preescolar,MATUTINO,Particular,LIMANTITLA NO 5,"LIMANTITLA NO 5, SANTA URSULA XITLA, TLALPAN",SANTA URSULA XITLA,TLALPAN,19.2821929,-99.177382
INSTITUTO ELIZABETH HUNDERLAGE,Preescolar,MATUTINO,Particular,CALLE 4 NO 300,"CALLE 4 NO 300, AGRICOLA PANTITLAN, IZTACALCO",PANTITLAN I,IZTACALCO,19.4152267,-99.0622986
COCOMO MONTESSORI,Preescolar,MATUTINO,Particular,CULIACÁN NO 86,"CULIACÁN NO 86, HIPODROMO DE LA CONDESA, CUAUHTEMOC",HIPODROMO II,CUAUHTEMOC,19.405054,-99.1702875
VILLA EDUCATIVA RUÍZ,Preescolar,MATUTINO,Particular,MARTÍN CARRERA NO 152,"MARTÍN CARRERA NO 152, MARTIN CARRERA, GUSTAVO A. MADERO",MARTIN CARRERA I,GUSTAVO A. MADERO,19.4888159,-99.105973
COLEGIO HASEN,Preescolar,MATUTINO,Particular,AVENIDA DEL IMÁN NO. 787 Y EUDEVAS NO. 10,"AVENIDA DEL IMÁN NO. 787 Y EUDEVAS NO. 10, EL CARACOL, COYOACAN",EL CARACOL,COYOACAN,19.3046973,-99.1608216
COLEGIO SHALOM,Preescolar,MATUTINO,Particular,LUIS MURILLO NÚMERO 30,"LUIS MURILLO NÚMERO 30, TETLALMEYA, COYOACAN",BOSQUES DE TETLAMEYA,COYOACAN,19.2994945,-99.1516932
CENTRO DE DESARROLLO INFANTIL ERIK ERIKSON,Preescolar,MATUTINO,Particular,CALETA NO. 37,"CALETA NO. 37, NARVARTE, BENITO JUAREZ",NARVARTE I,BENITO JUAREZ,19.4009921,-99.1459295
THE APPLE TREE ANZURES,Preescolar,MATUTINO,Particular,BAHIA DE GUANTANAMO NO. 64,"BAHIA DE GUANTANAMO NO. 64, VERONICA ANZURES, MIGUEL HIDALGO",VERONICA ANZURES,MIGUEL HIDALGO,19.4358649,-99.1763864
COLEGIO AVILES,Preescolar,MATUTINO,Particular,CAPULINES ZONA 10 MANZANA 9 LOTE 2,"CAPULINES ZONA 10 MANZANA 9 LOTE 2, PALMATITLA, GUSTAVO A. MADERO",PALMATITLA,GUSTAVO A. MADERO,19.5530523,-99.1282877
"""""INSTITUTO EDUCATIVO CECADI S.C.""""",Preescolar,MATUTINO,Particular,PROLONGACIÓN OLIVOS SN MANZANA 1 LOTE 3,"PROLONGACIÓN OLIVOS SN MANZANA 1 LOTE 3, GRANJAS ESTRELLA, IZTAPALAPA",GRANJAS ESTRELLA II,IZTAPALAPA,19.3288099,-99.0876105
KINDEA EN BUENAS MANOS,Preescolar,MATUTINO,Particular,SAN JUAN DE DIOS NO 451,"SAN JUAN DE DIOS NO 451, PRADO COAPA 2A Y 3A SECCION, TLALPAN",PRADO COAPA 3A SECCION-POTRERO ACOXPA,TLALPAN,19.2951915,-99.134543
MIGUEL ANGEL,Primaria,MATUTINO,Particular,IZTACCIHUATL NO. 239,"IZTACCIHUATL NO. 239, FLORIDA, ALVARO OBREGON",AXOTLA,ALVARO OBREGON,19.359255,-99.1763215
COLEGIO FRANCO INGLES,Primaria,MATUTINO,Particular,ANTIGUO CAMINO A TECAMACHALCO 686,"ANTIGUO CAMINO A TECAMACHALCO 686, VISTA HERMOSA, CUAJIMALPA DE MORELOS",LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3831312,-99.27875
COLEGIO WILLMINGTON,Primaria,MATUTINO,Particular,SADI CARNOT 33,"SADI CARNOT 33, SAN RAFAEL, CUAUHTEMOC",SAN RAFAEL I,CUAUHTEMOC,19.4381454,-99.1576446
MANUEL EDUARDO DE GOROSTIZA,Primaria,MATUTINO,Particular,CALZADA DE LAS BRUJAS 329,"CALZADA DE LAS BRUJAS 329, RINCON DE LAS HADAS, TLALPAN",NARCISO MENDOZA VILLA COAPA SUPERMANZANA 8 (U HAB),TLALPAN,19.2978286,-99.1199929
METROPOLITANA,Primaria,MATUTINO,Particular,NARANJO 109,"NARANJO 109, SANTA MARIA LA RIBERA, CUAUHTEMOC",SANTA MARIA LA RIBERA II,CUAUHTEMOC,19.4476857,-99.158981
NUEVA ESCUELA JUSTO SIERRA,Primaria,MATUTINO,Particular,AV JARDIN NO 294,"AV JARDIN NO 294, DEL GAS, AZCAPOTZALCO",DEL GAS (AMPL),AZCAPOTZALCO,19.4670914,-99.1594044
MANUEL ACOSTA,Primaria,MATUTINO,Particular,RIO SENA 42,"RIO SENA 42, CUAUHTEMOC, CUAUHTEMOC",CUAUHTEMOC,CUAUHTEMOC,19.4319938,-99.1667274
LICEO FRANCO MEXICANO,Primaria,MATUTINO,Particular,AVENIDA HOMERO 1521,"AVENIDA HOMERO 1521, POLANCO REFORMA, MIGUEL HIDALGO",MORALES SECCION PALMAS (POLANCO),MIGUEL HIDALGO,19.4367701,-99.2060573
TALLER MONTESSORI,Primaria,MATUTINO,Particular,RANCHO VERGEL 54,"RANCHO VERGEL 54, PRADO COAPA, TLALPAN",FLORESTA-PRADO-VERGEL COAPA,TLALPAN,19.3030803,-99.1303354
ESCUELA MODERNA AMERICANA,Primaria,MATUTINO,Particular,CERRO DEL HOMBRE No. 18,"CERRO DEL HOMBRE No. 18, ROMERO DE TERREROS FRACCIONAMIENTO, COYOACAN",ROMERO DE TERREROS (FRACC),COYOACAN,19.3453633,-99.1765707
RENACIMIENTO,Primaria,MATUTINO,Particular,ORIENTE 170 No. 349,"ORIENTE 170 No. 349, MOCTEZUMA 2A SECCION, VENUSTIANO CARRANZA",MOCTEZUMA 2A SECCION I,VENUSTIANO CARRANZA,19.436636,-99.0922224
COLEGIO VISTA HERMOSA,Primaria,MATUTINO,Particular,LOMA DE VISTA HERMOSA NUM 221,"LOMA DE VISTA HERMOSA NUM 221, LOMAS DE VISTA HERMOSA, CUAJIMALPA DE MORELOS",LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3771375,-99.2721983
SIERRA NEVADA,Primaria,MATUTINO,Particular,SIERRA MADRE 155,"SIERRA MADRE 155, LOMAS DE CHAPULTEPEC V, MIGUEL HIDALGO",LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4250586,-99.2065397
INSTITUTO MEXICANO REGINA,Primaria,MATUTINO,Particular,RIBERA DE CUPIA 70,"RIBERA DE CUPIA 70, REAL DE LAS LOMAS, MIGUEL HIDALGO",LOMAS DE REFORMA,MIGUEL HIDALGO,19.3984409,-99.2389526
INSTITUTO CANADIENSE DE MÉXICO,Primaria,MATUTINO,Particular,BARTOLACHE NUM 1931,"BARTOLACHE NUM 1931, DEL VALLE, BENITO JUAREZ",DEL VALLE VII,BENITO JUAREZ,19.3694827,-99.1746129
INSTITUTO FRAY JUAN DE ZUMARRAGA,Primaria,MATUTINO,Particular,PROVIDENCIA 122,"PROVIDENCIA 122, DEL VALLE, BENITO JUAREZ",DEL VALLE I,BENITO JUAREZ,19.3989431,-99.1668628
ESCUELA MEXICANA AMERICANA,Primaria,MATUTINO,Particular,AMORES 1709,"AMORES 1709, DEL VALLE, BENITO JUAREZ",DEL VALLE VII,BENITO JUAREZ,19.3666235,-99.1707529
INSTITUTO SCIFI,Primaria,MATUTINO,Particular,AV COYOACAN 615,"AV COYOACAN 615, DEL VALLE, BENITO JUAREZ",DEL VALLE III,BENITO JUAREZ,19.3888992,-99.1668107
COLEGIO TENOCHTITLAN,Primaria,MATUTINO,Particular,RASCARRABIAS 49 ANTES CERRADA UNO,"RASCARRABIAS 49 ANTES CERRADA UNO, INDEPENDENCIA, BENITO JUAREZ",VERTIZ NARVARTE,BENITO JUAREZ,19.3828046,-99.14848
COLEGIO AZCAPOTZALCO,Primaria,MATUTINO,Particular,RAYON NO 80,"RAYON NO 80, REYES LOS, AZCAPOTZALCO",LOS REYES (BARR),AZCAPOTZALCO,19.4850953,-99.1846524
PARTENON,Primaria,MATUTINO,Particular,PLAYA MANZANILLO No. 349,"PLAYA MANZANILLO No. 349, REFORMA IZTACCIHUATL, IZTACALCO",REFORMA IZTACCIHUATL NORTE,IZTACALCO,19.3854239,-99.1274792
INSTITUTO PROGRESO Y ESPERANZA  A.C.,Primaria,MATUTINO,Particular,AV. 5 NO. 89,"AV. 5 NO. 89, GRANJAS SAN ANTONIO, IZTAPALAPA",GRANJAS SAN ANTONIO,IZTAPALAPA,19.3609377,-99.1097834
JOSÉ MARÍA MORELOS Y PAVON,Primaria,MATUTINO,Particular,SAN FRANCISCO NO. 429,"SAN FRANCISCO NO. 429, GRANJAS ESTRELLA, IZTAPALAPA",GRANJAS ESTRELLA I,IZTAPALAPA,19.3225073,-99.0875651
INSTITUTO REFORMA,Primaria,MATUTINO,Particular,PLAYA PIE DE LA CUESTA NO. 337,"PLAYA PIE DE LA CUESTA NO. 337, EL RETOÑO, IZTAPALAPA",EL RETOO,IZTAPALAPA,19.3761735,-99.1258625
INSTITUTO DE LOS NIÑOS,Primaria,MATUTINO,Particular,AMADO NERVO NO. 70,"AMADO NERVO NO. 70, MODERNA, BENITO JUAREZ",MODERNA,BENITO JUAREZ,19.3944985,-99.1370434
